CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,BATTERY,WEAPONS VIOLATION,OTHER OFFENSE,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,THEFT,OBSCENITY,SEX OFFENSE,BURGLARY,MOTOR VEHICLE THEFT,ASSAULT,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,ROBBERY,LIQUOR LAW VIOLATION,STALKING,PUBLIC PEACE VIOLATION,PROSTITUTION,INTIMIDATION,ARSON,HOMICIDE,HUMAN TRAFFICKING,KIDNAPPING,PUBLIC INDECENCY,NON - CRIMINAL,GAMBLING,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OTHER NARCOTIC VIOLATION
3,71,131,10,65,51,4,154,0,5,42,29,59,21,3,69,29,2,0,8,8,1,2,1,0,1,0,0,3,0,0,0
4,75,120,13,46,39,7,165,0,1,27,34,47,21,6,62,30,3,0,13,5,0,0,1,0,0,0,0,1,0,0,0
2,90,136,5,61,54,7,168,0,2,33,25,53,15,5,81,26,0,1,5,10,1,0,2,0,0,0,0,1,0,0,0
0,87,155,16,40,41,8,165,0,1,36,29,39,22,4,75,24,0,0,7,1,1,1,1,0,1,0,0,0,0,0,0
6,89,173,2,54,24,7,137,0,2,26,29,47,25,3,64,31,0,0,8,1,0,3,2,0,0,0,0,0,0,1,1
4,60,123,10,46,41,7,151,0,2,36,25,53,19,4,65,19,0,0,6,3,0,2,2,0,0,0,0,1,0,0,0
3,58,133,8,58,43,8,162,1,5,31,33,46,28,4,61,24,3,0,6,13,0,0,0,0,0,0,0,1,0,0,0
6,74,152,12,54,37,5,171,0,5,36,38,51,20,3,65,24,1,0,4,18,0,1,3,0,1,0,0,2,0,0,0
6,69,137,24,46,36,5,159,0,1,51,25,47,24,3,122,28,0,1,6,5,0,0,1,0,0,0,0,0,0,1,0
9,83,158,14,45,48,10,186,0,1,50,24,58,25,6,66,21,0,0,11,4,0,0,3,0,0,0,1,1,0,0,0
6,100,186,12,50,31,9,178,0,3,26,26,50,18,3,65,26,1,0,8,6,0,1,2,0,1,0,0,1,0,0,0
7,90,171,11,47,32,7,168,0,2,40,40,60,19,4,48,26,0,1,6,7,0,2,3,1,0,0,0,1,0,0,0
6,80,123,2,62,65,8,185,0,6,39,31,54,13,1,16,27,2,0,7,0,0,0,1,0,0,1,0,1,0,0,0
2,85,152,9,60,43,4,185,0,2,50,38,83,21,4,50,28,1,1,9,13,0,0,3,0,0,0,1,1,0,0,0
4,79,134,11,44,27,4,165,0,1,55,21,60,18,3,53,22,1,0,8,5,1,0,1,0,0,0,0,1,0,1,0
4,104,139,9,47,40,10,158,0,4,48,30,52,19,6,47,29,0,0,7,5,0,0,4,0,1,0,0,2,0,0,0
1,73,151,13,44,32,7,198,0,6,40,31,37,14,6,66,27,2,0,14,5,0,3,0,0,0,0,0,2,0,0,0
7,97,189,10,43,39,9,174,0,1,31,24,43,23,6,31,24,1,0,5,0,0,2,2,1,1,0,0,1,0,0,0
4,101,250,12,33,20,6,145,0,3,33,26,67,8,4,32,20,1,0,12,0,0,1,1,0,0,0,0,1,0,1,0
6,91,162,8,49,39,4,179,0,5,41,33,52,17,3,48,31,1,0,4,2,1,0,0,0,0,0,0,2,0,0,0
4,70,154,11,53,33,0,171,0,1,34,21,44,9,6,67,22,2,1,8,5,0,3,2,0,0,0,1,3,0,0,0
4,80,131,10,38,34,5,174,0,3,33,32,50,24,2,62,21,0,1,13,2,0,3,1,0,0,0,1,2,0,1,0
5,76,142,5,46,31,5,164,0,5,41,42,48,35,2,95,23,1,0,9,0,0,1,2,0,0,0,2,0,0,0,0
4,76,141,7,45,56,6,166,0,1,48,33,57,28,9,63,29,0,0,4,0,0,3,1,0,0,0,1,0,0,1,0
5,87,142,11,42,38,8,156,0,1,17,38,51,24,6,46,32,1,1,6,1,0,2,3,0,0,0,0,1,0,0,0
6,106,202,13,51,24,8,139,0,2,36,37,60,18,6,39,31,4,0,12,0,0,0,1,0,0,0,0,1,0,0,0
2,74,138,14,45,45,7,155,0,5,36,30,54,19,5,65,32,2,1,10,0,0,3,1,0,0,0,0,3,1,0,0
6,76,144,10,40,39,0,178,0,2,40,27,45,20,4,76,16,0,1,10,4,2,0,2,0,1,0,0,1,0,0,0
